ID,Wort (Deutsch),Artikel,Plural,Wortart,Bedeutung (Indonesisch),Niveau,Thema (Netzwerk Neu),Beispielsatz (Deutsch),Beispielsatz (Indonesisch)
"wort-1513","unterbleiben","","","Verb","tinggal / tetap berada (unter-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'unterbleiben' sehr häufig: Wir bleiben auch in schwierigen Zeiten motiviert.","Dalam bahasa Jerman kata 'unterbleiben' berarti tinggal / tetap berada (di bawah)."
"wort-1514","verbleiben","","","Verb","tinggal / tetap berada (ver-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'verbleiben' sehr häufig: Wir bleiben auch in schwierigen Zeiten motiviert.","Dalam bahasa Jerman kata 'verbleiben' berarti tinggal / tetap berada (proses perubahan)."
"wort-1515","entbleiben","","","Verb","tinggal / tetap berada (ent-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'entbleiben' sehr häufig: Wir bleiben auch in schwierigen Zeiten motiviert.","Dalam bahasa Jerman kata 'entbleiben' berarti tinggal / tetap berada (melepaskan diri)."
"wort-1516","bebleiben","","","Verb","tinggal / tetap berada (be-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'bebleiben' sehr häufig: Wir bleiben auch in schwierigen Zeiten motiviert.","Dalam bahasa Jerman kata 'bebleiben' berarti tinggal / tetap berada (mengenai objek)."
"wort-1517","zerbleiben","","","Verb","tinggal / tetap berada (zer-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zerbleiben' sehr häufig: Wir bleiben auch in schwierigen Zeiten motiviert.","Dalam bahasa Jerman kata 'zerbleiben' berarti tinggal / tetap berada (menghancurkan)."
"wort-1518","wiederbleiben","","","Verb","tinggal / tetap berada (wieder-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'wiederbleiben' sehr häufig: Wir bleiben auch in schwierigen Zeiten motiviert.","Dalam bahasa Jerman kata 'wiederbleiben' berarti tinggal / tetap berada (kembali/ulang)."
"wort-1519","anzeigen","","","Verb","menunjukkan (an-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'anzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'anzeigen' berarti menunjukkan (pada/ke)."
"wort-1520","abzeigen","","","Verb","menunjukkan (ab-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'abzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'abzeigen' berarti menunjukkan (mulai dari/melepaskan)."
"wort-1521","aufzeigen","","","Verb","menunjukkan (auf-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'aufzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'aufzeigen' berarti menunjukkan (ke atas/terbuka)."
"wort-1522","auszeigen","","","Verb","menunjukkan (aus-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'auszeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'auszeigen' berarti menunjukkan (keluar/dari)."
"wort-1523","beizeigen","","","Verb","menunjukkan (bei-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beizeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'beizeigen' berarti menunjukkan (pada/di dekat)."
"wort-1524","einzeigen","","","Verb","menunjukkan (ein-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'einzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'einzeigen' berarti menunjukkan (ke dalam/memasuki)."
"wort-1525","mitzeigen","","","Verb","menunjukkan (mit-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'mitzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'mitzeigen' berarti menunjukkan (bersama/turut)."
"wort-1526","nachzeigen","","","Verb","menunjukkan (nach-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'nachzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'nachzeigen' berarti menunjukkan (menuju/sesudah)."
"wort-1527","vorzeigen","","","Verb","menunjukkan (vor-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vorzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'vorzeigen' berarti menunjukkan (di depan/sebelum)."
"wort-1528","zuzeigen","","","Verb","menunjukkan (zu-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zuzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'zuzeigen' berarti menunjukkan (menutup/ke arah)."
"wort-1529","überzeigen","","","Verb","menunjukkan (über-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'überzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'überzeigen' berarti menunjukkan (melalui/melebihi)."
"wort-1530","unterzeigen","","","Verb","menunjukkan (unter-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'unterzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'unterzeigen' berarti menunjukkan (di bawah)."
"wort-1531","verzeigen","","","Verb","menunjukkan (ver-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'verzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'verzeigen' berarti menunjukkan (proses perubahan)."
"wort-1532","entzeigen","","","Verb","menunjukkan (ent-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'entzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'entzeigen' berarti menunjukkan (melepaskan diri)."
"wort-1533","bezeigen","","","Verb","menunjukkan (be-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'bezeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'bezeigen' berarti menunjukkan (mengenai objek)."
"wort-1534","zerzeigen","","","Verb","menunjukkan (zer-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zerzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'zerzeigen' berarti menunjukkan (menghancurkan)."
"wort-1535","wiederzeigen","","","Verb","menunjukkan (wieder-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'wiederzeigen' sehr häufig: Die Daten zeigen eine deutliche Besserung.","Dalam bahasa Jerman kata 'wiederzeigen' berarti menunjukkan (kembali/ulang)."
"wort-1536","anführen","","","Verb","memimpin / mengarahkan (an-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'anführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'anführen' berarti memimpin / mengarahkan (pada/ke)."
"wort-1537","abführen","","","Verb","memimpin / mengarahkan (ab-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'abführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'abführen' berarti memimpin / mengarahkan (mulai dari/melepaskan)."
"wort-1538","aufführen","","","Verb","memimpin / mengarahkan (auf-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'aufführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'aufführen' berarti memimpin / mengarahkan (ke atas/terbuka)."
"wort-1539","ausführen","","","Verb","memimpin / mengarahkan (aus-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'ausführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'ausführen' berarti memimpin / mengarahkan (keluar/dari)."
"wort-1540","beiführen","","","Verb","memimpin / mengarahkan (bei-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beiführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'beiführen' berarti memimpin / mengarahkan (pada/di dekat)."
"wort-1541","einführen","","","Verb","memimpin / mengarahkan (ein-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'einführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'einführen' berarti memimpin / mengarahkan (ke dalam/memasuki)."
"wort-1542","mitführen","","","Verb","memimpin / mengarahkan (mit-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'mitführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'mitführen' berarti memimpin / mengarahkan (bersama/turut)."
"wort-1543","nachführen","","","Verb","memimpin / mengarahkan (nach-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'nachführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'nachführen' berarti memimpin / mengarahkan (menuju/sesudah)."
"wort-1544","vorführen","","","Verb","memimpin / mengarahkan (vor-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vorführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'vorführen' berarti memimpin / mengarahkan (di depan/sebelum)."
"wort-1545","zuführen","","","Verb","memimpin / mengarahkan (zu-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zuführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'zuführen' berarti memimpin / mengarahkan (menutup/ke arah)."
"wort-1546","überführen","","","Verb","memimpin / mengarahkan (über-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'überführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'überführen' berarti memimpin / mengarahkan (melalui/melebihi)."
"wort-1547","unterführen","","","Verb","memimpin / mengarahkan (unter-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'unterführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'unterführen' berarti memimpin / mengarahkan (di bawah)."
"wort-1548","verführen","","","Verb","memimpin / mengarahkan (ver-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'verführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'verführen' berarti memimpin / mengarahkan (proses perubahan)."
"wort-1549","entführen","","","Verb","memimpin / mengarahkan (ent-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'entführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'entführen' berarti memimpin / mengarahkan (melepaskan diri)."
"wort-1550","beführen","","","Verb","memimpin / mengarahkan (be-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'beführen' berarti memimpin / mengarahkan (mengenai objek)."
"wort-1551","zerführen","","","Verb","memimpin / mengarahkan (zer-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zerführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'zerführen' berarti memimpin / mengarahkan (menghancurkan)."
"wort-1552","wiederführen","","","Verb","memimpin / mengarahkan (wieder-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'wiederführen' sehr häufig: Gute Gewohnheiten führen zum Erfolg.","Dalam bahasa Jerman kata 'wiederführen' berarti memimpin / mengarahkan (kembali/ulang)."
"wort-1553","anleben","","","Verb","hidup (an-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'anleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'anleben' berarti hidup (pada/ke)."
"wort-1554","ableben","","","Verb","hidup (ab-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'ableben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'ableben' berarti hidup (mulai dari/melepaskan)."
"wort-1555","aufleben","","","Verb","hidup (auf-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'aufleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'aufleben' berarti hidup (ke atas/terbuka)."
"wort-1556","ausleben","","","Verb","hidup (aus-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'ausleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'ausleben' berarti hidup (keluar/dari)."
"wort-1557","beileben","","","Verb","hidup (bei-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beileben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'beileben' berarti hidup (pada/di dekat)."
"wort-1558","einleben","","","Verb","hidup (ein-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'einleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'einleben' berarti hidup (ke dalam/memasuki)."
"wort-1559","mitleben","","","Verb","hidup (mit-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'mitleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'mitleben' berarti hidup (bersama/turut)."
"wort-1560","nachleben","","","Verb","hidup (nach-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'nachleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'nachleben' berarti hidup (menuju/sesudah)."
"wort-1561","vorleben","","","Verb","hidup (vor-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vorleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'vorleben' berarti hidup (di depan/sebelum)."
"wort-1562","zuleben","","","Verb","hidup (zu-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zuleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'zuleben' berarti hidup (menutup/ke arah)."
"wort-1563","überleben","","","Verb","hidup (über-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'überleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'überleben' berarti hidup (melalui/melebihi)."
"wort-1564","unterleben","","","Verb","hidup (unter-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'unterleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'unterleben' berarti hidup (di bawah)."
"wort-1565","verleben","","","Verb","hidup (ver-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'verleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'verleben' berarti hidup (proses perubahan)."
"wort-1566","entleben","","","Verb","hidup (ent-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'entleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'entleben' berarti hidup (melepaskan diri)."
"wort-1567","beleben","","","Verb","hidup (be-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'beleben' berarti hidup (mengenai objek)."
"wort-1568","zerleben","","","Verb","hidup (zer-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zerleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'zerleben' berarti hidup (menghancurkan)."
"wort-1569","wiederleben","","","Verb","hidup (wieder-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'wiederleben' sehr häufig: Er lebt seit vielen Jahren zufrieden in Heidelberg.","Dalam bahasa Jerman kata 'wiederleben' berarti hidup (kembali/ulang)."
"wort-1570","annehmen","","","Verb","mengambil (an-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'annehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'annehmen' berarti mengambil (pada/ke)."
"wort-1571","abnehmen","","","Verb","mengambil (ab-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'abnehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'abnehmen' berarti mengambil (mulai dari/melepaskan)."
"wort-1572","aufnehmen","","","Verb","mengambil (auf-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'aufnehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'aufnehmen' berarti mengambil (ke atas/terbuka)."
"wort-1573","ausnehmen","","","Verb","mengambil (aus-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'ausnehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'ausnehmen' berarti mengambil (keluar/dari)."
"wort-1574","beinehmen","","","Verb","mengambil (bei-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beinehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'beinehmen' berarti mengambil (pada/di dekat)."
"wort-1575","einnehmen","","","Verb","mengambil (ein-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'einnehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'einnehmen' berarti mengambil (ke dalam/memasuki)."
"wort-1576","mitnehmen","","","Verb","mengambil (mit-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'mitnehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'mitnehmen' berarti mengambil (bersama/turut)."
"wort-1577","nachnehmen","","","Verb","mengambil (nach-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'nachnehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'nachnehmen' berarti mengambil (menuju/sesudah)."
"wort-1578","vornehmen","","","Verb","mengambil (vor-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vornehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'vornehmen' berarti mengambil (di depan/sebelum)."
"wort-1579","zunehmen","","","Verb","mengambil (zu-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zunehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'zunehmen' berarti mengambil (menutup/ke arah)."
"wort-1580","übernehmen","","","Verb","mengambil (über-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'übernehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'übernehmen' berarti mengambil (melalui/melebihi)."
"wort-1581","unternehmen","","","Verb","mengambil (unter-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'unternehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'unternehmen' berarti mengambil (di bawah)."
"wort-1582","vernehmen","","","Verb","mengambil (ver-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vernehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'vernehmen' berarti mengambil (proses perubahan)."
"wort-1583","entnehmen","","","Verb","mengambil (ent-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'entnehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'entnehmen' berarti mengambil (melepaskan diri)."
"wort-1584","benehmen","","","Verb","mengambil (be-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'benehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'benehmen' berarti mengambil (mengenai objek)."
"wort-1585","zernehmen","","","Verb","mengambil (zer-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zernehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'zernehmen' berarti mengambil (menghancurkan)."
"wort-1586","wiedernehmen","","","Verb","mengambil (wieder-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'wiedernehmen' sehr häufig: Er nimmt den Rat dankbar an.","Dalam bahasa Jerman kata 'wiedernehmen' berarti mengambil (kembali/ulang)."
"wort-1587","angeben","","","Verb","memberikan (an-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'angeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'angeben' berarti memberikan (pada/ke)."
"wort-1588","abgeben","","","Verb","memberikan (ab-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'abgeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'abgeben' berarti memberikan (mulai dari/melepaskan)."
"wort-1589","aufgeben","","","Verb","memberikan (auf-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'aufgeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'aufgeben' berarti memberikan (ke atas/terbuka)."
"wort-1590","ausgeben","","","Verb","memberikan (aus-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'ausgeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'ausgeben' berarti memberikan (keluar/dari)."
"wort-1591","beigeben","","","Verb","memberikan (bei-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'beigeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'beigeben' berarti memberikan (pada/di dekat)."
"wort-1592","eingeben","","","Verb","memberikan (ein-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'eingeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'eingeben' berarti memberikan (ke dalam/memasuki)."
"wort-1593","mitgeben","","","Verb","memberikan (mit-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'mitgeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'mitgeben' berarti memberikan (bersama/turut)."
"wort-1594","nachgeben","","","Verb","memberikan (nach-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'nachgeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'nachgeben' berarti memberikan (menuju/sesudah)."
"wort-1595","vorgeben","","","Verb","memberikan (vor-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vorgeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'vorgeben' berarti memberikan (di depan/sebelum)."
"wort-1596","zugeben","","","Verb","memberikan (zu-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'zugeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'zugeben' berarti memberikan (menutup/ke arah)."
"wort-1597","übergeben","","","Verb","memberikan (über-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'übergeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'übergeben' berarti memberikan (melalui/melebihi)."
"wort-1598","untergeben","","","Verb","memberikan (unter-)","A2","Netzwerk Neu A2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'untergeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'untergeben' berarti memberikan (di bawah)."
"wort-1599","vergeben","","","Verb","memberikan (ver-)","B1","Netzwerk Neu B1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'vergeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'vergeben' berarti memberikan (proses perubahan)."
"wort-1600","entgeben","","","Verb","memberikan (ent-)","B2","Netzwerk Neu B2 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'entgeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'entgeben' berarti memberikan (melepaskan diri)."
"wort-1601","begeben","","","Verb","memberikan (be-)","A1","Netzwerk Neu A1 - Wortschatz Modul","Im Alltagsdeutsch verwendet man das Wort 'begeben' sehr häufig: Sie gibt immer ihr Bestes.","Dalam bahasa Jerman kata 'begeben' berarti memberikan (mengenai objek)."
